fdc_id,description,food_category_id,is_breakfast,is_morning_snack,is_lunch,is_afternoon_snack,is_dinner,is_beverage,calories,protein,fat,cholesterol,carbohydrate,sugar,sodium,calcium,iron,potassium,vitamin_c
170428,"Peppers, sweet, green, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,28.0,0.92,0.2,0.0,6.7,3.19,2.0,9.0,0.46,166.0,74.4
170430,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,111.0,5.96,1.36,0.0,19.49,2.48,5.0,41.0,1.57,456.0,28.1
170431,Poi,11,1,1,1,1,1,0,112.0,0.38,0.14,0.0,27.23,0.39,12.0,16.0,0.88,183.0,4.0
170433,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",11,1,1,1,1,1,0,20.0,2.3,0.4,0.0,3.1,1.6,18.0,53.0,1.2,184.0,82.0
170434,"Potatoes, white, flesh and skin, baked",11,1,1,1,1,1,0,92.0,2.1,0.15,0.0,21.08,1.53,7.0,10.0,0.64,544.0,12.6
170435,"Potatoes, red, flesh and skin, baked",11,1,1,1,1,1,0,87.0,2.3,0.15,0.0,19.59,1.43,12.0,9.0,0.7,545.0,12.6
170436,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, as purchased",11,1,1,1,1,1,0,146.0,2.34,4.99,0.0,23.96,0.21,349.0,13.0,0.62,380.0,7.7
170437,"Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated",11,1,1,1,1,1,0,161.0,2.51,5.13,0.0,27.5,0.29,391.0,13.0,0.75,471.0,11.8
170438,"Potatoes, boiled, cooked in skin, flesh, without salt",11,1,1,1,1,1,0,87.0,1.87,0.1,0.0,20.13,0.91,4.0,5.0,0.31,379.0,13.0
170440,"Potatoes, boiled, cooked without skin, flesh, without salt",11,1,1,1,1,1,0,86.0,1.71,0.1,0.0,20.01,0.89,5.0,8.0,0.31,328.0,7.4
170445,"Potatoes, mashed, dehydrated, flakes without milk, dry form",11,1,1,1,1,1,0,354.0,8.34,0.41,0.0,81.17,3.36,77.0,27.0,1.21,1098.0,81.0
170446,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",11,1,1,1,1,1,0,97.0,1.77,5.13,14.0,10.87,1.61,164.0,32.0,0.16,164.0,9.7
170451,"Potatoes, french fried, shoestring, salt added in processing, frozen, as purchased",11,1,1,1,1,1,0,163.0,2.16,6.24,0.0,25.59,0.2,323.0,11.0,0.72,379.0,12.3
170452,"Potatoes, french fried, shoestring, salt added in processing, frozen, oven-heated",11,1,1,1,1,1,0,194.0,2.9,6.76,0.0,31.66,0.31,400.0,12.0,0.8,505.0,14.2
170458,"Tomato juice, canned, with salt added",11,1,1,1,1,1,0,17.0,0.85,0.29,0.0,3.53,2.58,253.0,10.0,0.39,217.0,70.1
170459,"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)",11,1,1,1,1,1,0,82.0,4.32,0.47,0.0,18.91,12.18,59.0,36.0,2.98,1014.0,21.9
170460,"Tomato products, canned, puree, without salt added",11,1,1,1,1,1,0,38.0,1.65,0.21,0.0,8.98,4.83,28.0,18.0,1.78,439.0,10.6
170461,Tomato powder,11,1,1,1,1,1,0,302.0,12.91,0.44,0.0,74.68,43.9,134.0,166.0,4.56,1927.0,116.7
170462,"Tomato products, canned, sauce, with onions, green peppers, and celery",11,1,1,1,1,1,0,41.0,0.94,0.74,0.0,8.77,7.36,368.0,13.0,0.76,398.0,13.2
170466,"Turnip greens, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,20.0,1.14,0.23,0.0,4.36,0.53,29.0,137.0,0.8,203.0,27.4
170469,"Turnip greens, frozen, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,29.0,3.35,0.42,0.0,4.98,0.75,15.0,152.0,1.94,224.0,21.8
170472,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,65.0,2.86,0.15,0.0,13.09,3.12,35.0,25.0,0.82,169.0,3.2
170473,"Vegetable juice cocktail, low sodium, canned",11,1,1,1,1,1,0,19.0,0.91,0.32,0.0,3.83,2.78,55.0,15.0,0.29,204.0,54.3
170475,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",11,1,1,1,1,1,0,14.0,0.4,0.2,0.0,3.04,1.18,107.0,18.0,0.38,5.0,10.5
170480,"Beets, pickled, canned, solids and liquids",11,1,1,1,1,1,0,65.0,0.8,0.08,0.0,16.28,11.05,149.0,11.0,0.41,115.0,2.3
170488,"Squash, summer, all varieties, cooked, boiled, drained, without salt",11,1,1,1,1,1,0,20.0,0.91,0.31,0.0,4.31,2.59,1.0,27.0,0.36,192.0,5.5
170490,"Squash, winter, all varieties, cooked, baked, without salt",11,1,1,1,1,1,0,37.0,0.89,0.35,0.0,8.85,3.3,1.0,22.0,0.44,241.0,9.6
170491,"Carrot juice, canned",11,1,1,1,1,1,0,40.0,0.95,0.15,0.0,9.28,3.91,66.0,24.0,0.46,292.0,8.5
170492,"Corn pudding, home prepared",11,1,1,1,1,1,0,131.0,4.42,5.04,72.0,16.97,6.59,282.0,39.0,0.53,176.0,3.7
170493,"Potatoes, mashed, home-prepared, whole milk added",11,1,1,1,1,1,0,83.0,1.91,0.57,2.0,17.57,1.48,302.0,24.0,0.27,296.0,6.2
170494,Spinach souffle,11,1,1,1,1,1,0,172.0,7.89,12.95,118.0,5.9,1.85,566.0,165.0,1.19,231.0,7.3
170495,"Seaweed, spirulina, dried",11,1,1,1,1,1,0,290.0,57.47,7.72,0.0,23.9,3.1,1048.0,120.0,28.5,1363.0,10.1
170500,"Carrot, dehydrated",11,1,1,1,1,1,0,341.0,8.1,1.49,0.0,79.57,38.82,275.0,212.0,3.93,2540.0,14.6
170501,"Tomatoes, crushed, canned",11,1,1,1,1,1,0,32.0,1.64,0.28,0.0,7.29,4.4,186.0,34.0,1.3,293.0,9.2
170503,"Mustard greens, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,26.0,2.56,0.47,0.0,4.51,1.41,252.0,118.0,0.87,162.0,25.3
170504,"Mustard greens, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,19.0,2.27,0.25,0.0,3.11,0.32,261.0,101.0,1.12,139.0,13.8
170506,"New zealand spinach, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,12.0,1.3,0.17,0.0,2.13,0.25,343.0,48.0,0.66,102.0,16.0
170507,"Onions, frozen, whole, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,26.0,0.71,0.05,0.0,6.11,2.9,244.0,27.0,0.34,101.0,5.1
170508,"Parsnips, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,71.0,1.32,0.3,0.0,17.01,4.8,246.0,37.0,0.58,367.0,13.0
170509,"Peas, edible-podded, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,40.0,3.27,0.23,0.0,6.46,3.99,240.0,42.0,1.97,240.0,47.9
170510,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,50.0,3.5,0.38,0.0,8.43,4.82,241.0,59.0,2.4,217.0,22.0
170512,"Peas and carrots, canned, no salt added, solids and liquids",11,1,1,1,1,1,0,38.0,2.17,0.27,0.0,8.48,2.83,4.0,23.0,0.75,100.0,6.6
170513,"Peas and carrots, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,48.0,3.09,0.42,0.0,10.12,4.36,304.0,23.0,0.94,158.0,8.1
170514,"Peas and onions, frozen, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,45.0,2.54,0.2,0.0,8.63,3.77,273.0,14.0,0.94,117.0,6.9
170515,"Peppers, sweet, red, cooked, boiled, drained, with salt",11,1,1,1,1,1,0,26.0,0.92,0.2,0.0,6.11,4.39,238.0,9.0,0.46,166.0,171.0
